STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-02,21.9,",,E",5.0,",,E",1.5,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-03,0.0,",,E",7.6,",,E",1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-04,0.0,",,E",8.0,",,E",1.6,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-05,0.0,",,E",6.0,",,E",1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-06,0.0,",,E",9.0,",,E",2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-07,0.0,",,E",7.0,",,E",2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-08,0.0,",,E",8.0,",,E",1.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-09,0.0,",,E",7.0,",,E",2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-10,0.0,",,E",12.6,",,E",3.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-12,0.0,",,E",13.0,",,E",6.4,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-13,0.0,",,E",16.0,",,E",8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-14,0.0,",,E",14.0,",,E",10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-15,0.0,",,E",11.0,",,E",6.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-16,0.0,",,E",9.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-17,0.0,",,E",11.8,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-18,0.0,",,E",14.0,",,E",3.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-19,0.0,",,E",17.0,",,E",2.8,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-20,0.0,",,E",9.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-21,0.0,",,E",9.0,",,E",3.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-01-22,0.0,",,E",10.0,",,E",4.0,",,E"
