STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-02,,,22.2,",,S",2.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-03,,,12.1,,2.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-08,,,12.8,",,S",-2.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-10,,,14.3,,5.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-18,,,7.8,",,S",2.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-19,,,13.9,",,S",-3.9,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-20,,,13.9,",,S",0.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-21,,,15.0,",,S",1.0,
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-23,,,21.1,",,S",1.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-24,,,20.0,",,S",1.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-01-25,,,20.0,",,S",3.9,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-02,,,16.1,",,S",0.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-03,,,16.2,,-1.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-04,,,20.0,",,S",1.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-05,,,17.8,",,S",2.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-06,,,15.6,,3.6,
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-08,,,12.2,",,S",3.9,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-10,,,15.0,",,S",4.5,
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-11,,,17.8,",,S",1.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-12,,,15.0,",,S",7.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-13,,,17.8,",,S",2.2,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-14,,,22.2,",,S",6.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-15,,,23.9,",,S",6.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-18,,,20.4,,6.9,
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-19,,,18.9,",,S",7.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-21,,,22.2,",,S",7.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-22,,,24.6,,5.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-23,,,24.6,,10.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-24,,,20.0,",,S",3.9,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-25,,,27.8,",,S",7.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-27,,,26.1,",,S",10.0,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-28,,,25.0,,7.6,
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-02-29,,,22.5,,7.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-03-01,,,26.1,",,S",12.8,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-03-02,,,26.1,",,S",6.1,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-03-04,,,20.1,,3.9,",,S"
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0,1960-03-05,,,22.8,",,S",7.2,",,S"
